"city","dma_code","latitude","longitude","region","slug"
"Ada","657","34.774531","-96.6783449","OK","ada-ok"
"Akron","510","41.0814447","-81.5190053","OH","akron-oh"
"Albany","525","31.5785074","-84.155741","GA","albany-ga"
"Alexandria","644","31.3112936","-92.4451371","LA","alexandria-la"
"Alpena","583","45.0616794","-83.4327528","MI","alpena-mi"
"Altoona","574","40.5186809","-78.3947359","PA","altoona-pa"
"Amarillo","634","35.2219971","-101.8312969","TX","amarillo-tx"
"Ames","679","42.02335","-93.625622","IA","ames-ia"
"Anchorage","743","61.2180556","-149.9002778","AK","anchorage-ak"
"Anderson","567","34.5034394","-82.6501332","SC","anderson-sc"
"Appleton","658","44.2619309","-88.4153847","WI","appleton-wi"
"Atlanta","524","33.7489954","-84.3879824","GA","atlanta-ga"
"Auburn","500","44.0978509","-70.2311655","ME","auburn-me"
"Augusta","520","33.47","-81.975","GA","augusta-ga"
"Austin","611","43.6666296","-92.9746367","MN","austin-mn"
"Austin","635","30.267153","-97.7430608","TX","austin-tx"
"Bakersfield","800","35.3732921","-119.0187125","CA","bakersfield-ca"
"Baltimore","512","39.2903848","-76.6121893","MD","baltimore-md"
"Bangor","537","44.8011821","-68.7778138","ME","bangor-me"
"BatonRouge","716","30.4507462","-91.154551","LA","baton-rouge-la"
"BattleCreek","563","42.3211522","-85.1797142","MI","battle-creek-mi"
"BayCity","513","43.5944677","-83.8888647","MI","bay-city-mi"
"Bend","821","44.0581728","-121.3153096","OR","bend-or"
"Billings","756","45.7832856","-108.5006904","MT","billings-mt"
"Binghamton","502","42.0986867","-75.9179738","NY","binghamton-ny"
"Birmingham","630","33.5206608","-86.80249","AL","birmingham-al"
"Bloomington","675","40.4842027","-88.9936873","IL","bloomington-il"
"Boise","757","43.613739","-116.237651","ID","boise-id"
"BowlingGreen","736","36.9903199","-86.4436018","KY","bowling-green-ky"
"Bozeman","754","45.68346","-111.050499","MT","bozeman-mt"
"Bryan","625","30.6743643","-96.3699632","TX","bryan-tx"
"Buffalo","514","42.8864468","-78.8783689","NY","buffalo-ny"
"Cadillac","540","44.2519526","-85.4011619","MI","cadillac-mi"
"Canton","510","40.7989473","-81.378447","OH","canton-oh"
"Champaign","648","39.8403147","-88.9548001","IL","champaign-il"
"Charleston","519","32.7765656","-79.9309216","SC","charleston-sc"
"Charlotte","517","35.2270869","-80.8431267","NC","charlotte-nc"
"Charlottesville","584","38.0293059","-78.4766781","VA","charlottesville-va"
"Chattanooga","575","35.0456297","-85.3096801","TN","chattanooga-tn"
"Chicago","602","41.850033","-87.6500523","IL","chicago-il"
"Cincinnati","515","39.1361111","-84.5030556","OH","cincinnati-oh"
"Cities","531","36.472723","-82.4106862","TN-VA","cities-tn-va"
"Columbia","546","34.0007104","-81.0348144","SC","columbia-sc"
"Columbus","522","32.4609764","-84.9877094","GA","columbus-ga"
"Columbus","535","39.9611755","-82.9987942","OH","columbus-oh"
"CorpusChristi","600","27.8005828","-97.396381","TX","corpus-christi-tx"
"Dayton","542","39.7589478","-84.1916069","OH","dayton-oh"
"Decatur","691","34.6059253","-86.9833417","AL","decatur-al"
"Decatur;","648","39.8403147","-88.9548001","IL","decatur-il"
"Denver","751","39.7391536","-104.9847034","CO","denver-co"
"Detroit","505","42.331427","-83.0457538","MI","detroit-mi"
"Dickinson","687","46.8791756","-102.7896242","ND","dickinson-nd"
"Dothan","606","31.2232313","-85.3904888","AL","dothan-al"
"Durham","560","35.9940329","-78.898619","NC","durham-nc"
"EauClaire","702","44.811349","-91.4984941","WI","eau-claire-wi"
"ElCentro","771","32.792","-115.5630514","CA","el-centro-ca"
"ElDorado","628","33.210973","-92.665901","AR","el-dorado-ar"
"ElPaso","765","31.7587198","-106.4869314","TX","el-paso-tx"
"Elkhart","588","41.6819935","-85.9766671","IN","elkhart-in"
"Elmira","565","42.0897965","-76.8077338","NY","elmira-ny"
"Erie","516","42.1292241","-80.085059","PA","erie-pa"
"Eugene","801","44.0520691","-123.0867536","OR","eugene-or"
"Eureka","802","40.8020712","-124.1636729","CA","eureka-ca"
"Evansville","649","37.9747644","-87.5558482","IN","evansville-in"
"Fairbanks","745","64.8377778","-147.7163889","AK","fairbanks-ak"
"Fayetteville","560","35.0526641","-78.8783585","NC","fayetteville-nc"
"Florence","691","34.79981","-87.677251","AL","florence-al"
"Ft.Lauderdale","528","26.1223084","-80.1433786","FL","ft-lauderdale-fl"
"Ft.Pierce","548","27.4467056","-80.3256056","FL","ft-pierce-fl"
"Ft.WaltonBeach","686","30.4057552","-86.618842","FL","ft-walton-beach-fl"
"Ft.Wayne","509","41.1306041","-85.1288597","IN","ft-wayne-in"
"Ft.Worth","623","32.725409","-97.3208496","TX","ft-worth-tx"
"Gainesville","592","29.6516344","-82.3248262","FL","gainesville-fl"
"Glendive","798","47.108491","-104.710419","MT","glendive-mt"
"GreatFalls","755","47.5002354","-111.3008083","MT","great-falls-mt"
"Greenville","647","33.4101161","-91.0617735","MS","greenville-ms"
"Gulfport","746","30.3674198","-89.0928155","MS","gulfport-ms"
"Hagerstown","511","39.6417629","-77.7199932","MD","hagerstown-md"
"Harrisonburg","569","38.4495688","-78.8689155","VA","harrisonburg-va"
"Hartford","533","41.7637111","-72.6850932","CT","hartford-ct"
"Helena","766","46.595805","-112.027031","MT","helena-mt"
"Holyoke","543","42.2042586","-72.6162009","MA","holyoke-ma"
"Honolulu","744","21.3069444","-157.8583333","HI","honolulu-hi"
"Houston","618","29.7628844","-95.3830615","TX","houston-tx"
"Huntington","564","38.4192496","-82.445154","WV","huntington-wv"
"Hutchinson","678","38.0608445","-97.9297743","KS","hutchinson-ks"
"Indianapolis","527","39.7683765","-86.1580423","IN","indianapolis-in"
"IowaCity","637","41.677204","-91.5162792","IA","iowa-city-ia"
"Jackson","639","35.6145169","-88.8139469","TN","jackson-tn"
"Jackson","718","32.2987573","-90.1848103","MS","jackson-ms"
"Jacksonville","561","30.3321838","-81.655651","FL","jacksonville-fl"
"JeffersonCity","604","38.5767017","-92.1735164","MO","jefferson-city-mo"
"Jonesboro","734","35.8422967","-90.704279","AR","jonesboro-ar"
"Juneau","747","58.3019444","-134.4197222","AK","juneau-ak"
"KansasCity","616","39.0997265","-94.5785667","MO","kansas-city-mo"
"Kearney","722","40.699959","-99.083107","NE","kearney-ne"
"Kennewick","810","46.2112458","-119.1372338","WA","kennewick-wa"
"Keokuk","717","40.402525","-91.394372","IA","keokuk-ia"
"Kirksville","631","40.1947539","-92.5832496","MO","kirksville-mo"
"KlamathFalls","813","42.224867","-121.7816704","OR","klamath-falls-or"
"Knoxville","557","35.9606384","-83.9207392","TN","knoxville-tn"
"Lafayette","582","40.4167022","-86.8752869","IN","lafayette-in"
"Lafayette","642","30.2240897","-92.0198427","LA","lafayette-la"
"LakeCharles","643","30.2265949","-93.2173758","LA","lake-charles-la"
"Lansing","551","42.732535","-84.5555347","MI","lansing-mi"
"Laredo","749","27.506407","-99.5075421","TX","laredo-tx"
"LasVegas","839","36.114646","-115.172816","NV","las-vegas-nv"
"Laurel","710","31.6940509","-89.1306124","MS","laurel-ms"
"Lawton","627","34.6086854","-98.3903305","OK","lawton-ok"
"Lexington","541","38.0317136","-84.4951359","KY","lexington-ky"
"Lima","558","40.742551","-84.1052256","OH","lima-oh"
"Longview","709","32.5007037","-94.7404891","TX","longview-tx"
"LosAngeles","803","34.0522342","-118.2436849","CA","los-angeles-ca"
"Louisville","529","38.2542376","-85.759407","KY","louisville-ky"
"Lubbock","651","33.5778631","-101.8551665","TX","lubbock-tx"
"Lufkin","709","31.3382406","-94.729097","TX","lufkin-tx"
"Lynchburg","573","37.4137536","-79.1422464","VA","lynchburg-va"
"Macon","503","32.8406946","-83.6324022","GA","macon-ga"
"Madison","669","43.0730517","-89.4012302","WI","madison-wi"
"Manchester","506","42.9956397","-71.4547891","NH","manchester-nh"
"Mankato","737","44.1635775","-93.9993996","MN","mankato-mn"
"Marquette","553","46.5435442","-87.395417","MI","marquette-mi"
"McAllen","636","26.2034071","-98.2300124","TX","mcallen-tx"
"Melbourne","534","28.0836269","-80.6081089","FL","melbourne-fl"
"Memphis","640","35.1495343","-90.0489801","TN","memphis-tn"
"Meridian","711","32.3643098","-88.703656","MS","meridian-ms"
"Midland","633","31.9973456","-102.0779146","TX","midland-tx"
"Milwaukee","617","43.0389025","-87.9064736","WI","milwaukee-wi"
"Missoula","762","46.872146","-113.9939982","MT","missoula-mt"
"Mitchell","725","43.7094283","-98.0297992","SD","mitchell-sd"
"Modesto","862","37.6390972","-120.9968782","CA","modesto-ca"
"Moline","682","41.5067003","-90.5151342","IL","moline-il"
